Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
JNJ,"Johnson & Johnson",148.87,-1.49,-0.99%,150,148.64,8651900,01/31/20
CNC,"Centene Corp",62.81,-0.71,-1.12%,63.24,62.19,8643399,01/31/20
WLL,"Whiting Petroleum Corp",4.54,-0.04,-0.87%,4.62,4.33,8424000,01/31/20
ADM,"Archer Daniels Midland",44.76,-1.04,-2.27%,45.62,44.55,8398200,01/31/20
VIAC,"Viacomcbs Inc. Cl B",34.13,-0.06,-0.18%,34.69,33.58,8386800,01/31/20
DB,"Deutsche Bank Ag",9.15,-0.15,-1.61%,9.34,9.09,8241700,01/31/20
KHC,"Kraft Heinz Company",29.2,-0.74,-2.47%,29.92,29.03,8211700,01/31/20
ATVI,"Activision Blizzard",58.48,-2.41,-3.96%,60.3,58.35,8184100,01/31/20
BYND,"Beyond Meat Inc",110.42,-6.87,-5.86%,118.15,108.03,8055200,01/31/20
EPD,"Enterprise Products Partners LP",25.77,-0.76,-2.86%,26.59,25.76,8007300,01/31/20
ON,"On Semiconductor",23.15,-0.79,-3.30%,23.76,22.95,7994600,01/31/20
COG,"Cabot Oil & Gas Corp",14.09,-0.22,-1.54%,14.3,14.02,7985700,01/31/20
HBI,"Hanesbrands Inc",13.76,-0.51,-3.57%,14.32,13.69,7795800,01/31/20
FITB,"Fifth Third Bncp",28.45,-0.74,-2.54%,29,28.27,7780200,01/31/20
WMT,"Wal-Mart Stores",114.49,-2.09,-1.79%,116.26,113.9,7775700,01/31/20
TFC,"Truist Financial Corp.",51.57,-0.56,-1.07%,51.88,51.24,7724800,01/31/20
NVST,"Envista Holdings Corp",29.59,-1.61,-5.16%,30.87,29.25,7713800,01/31/20
CAH,"Cardinal Health",51.21,-2.08,-3.90%,53.17,50.9,7692200,01/31/20
COP,Conocophillips,59.43,-1.46,-2.40%,60.41,59.12,7673000,01/31/20
NEM,"Newmont Mining Corp",45.06,0.09,+0.20%,45.41,44.87,7670900,01/31/20
NYCB,"New York Community Bancorp",11.06,0,0.00%,11.23,10.98,7659400,01/31/20
GPS,"Gap Inc",17.41,-0.71,-3.92%,18.12,17.16,7634900,01/31/20
PBR.A,"Petroleo Brasileiro Sa Petrobr ADR",13.25,-0.35,-2.57%,13.41,13.16,7600300,01/31/20
JCI,"Johnson Controls Intl",39.45,-1.06,-2.62%,42.34,39.23,7536700,01/31/20
DOW,"Dow Inc",46.07,-2.4,-4.95%,47.87,45.92,7532200,01/31/20
AGNC,"American Capital Age",18.59,0.11,+0.60%,18.67,18.48,7519400,01/31/20
SQ,Square,74.69,-1.41,-1.85%,76.38,74.33,7514100,01/31/20
FTI,"Technipfmc Plc",16.51,0.05,+0.30%,16.52,15.9,7435700,01/31/20
NBL,"Noble Energy Inc",19.77,-0.53,-2.61%,20.11,19.66,7392800,01/31/20
DVN,"Devon Energy Corp",21.72,-0.77,-3.42%,22.05,21.27,7340500,01/31/20
QD,"Qudian Inc ADR",2.88,-0.07,-2.37%,2.99,2.78,7317200,01/31/20
LYB,"Lyondellbasell Industries NV",77.86,-5.59,-6.70%,80.6,77.29,7267700,01/31/20
SDC,"Smiledirectclub Inc",13.39,-0.05,-0.37%,13.59,12.92,7259900,01/31/20
UPS,"United Parcel Service",103.52,-4.48,-4.15%,107.9,103.09,7234200,01/31/20
CX,"Cemex S.A.B. DE C.V.",4.04,-0.16,-3.81%,4.18,4.03,7168300,01/31/20
ODP,"Office Depot",2.22,-0.04,-1.77%,2.28,2.12,7147800,01/31/20
BIMI,"NF Energy Saving Corp",4.98,2.09,+72.32%,5.58,3,7117200,01/31/20
AMRN,"Amarin Corp Ads",18.55,-0.49,-2.57%,19.1,18.28,7091200,01/31/20
MGM,"MGM Resorts International",31.06,-0.24,-0.77%,31.23,30.65,6999900,01/31/20
EA,"Electronic Arts Inc",107.92,-3.72,-3.33%,110.75,105.5,6996100,01/31/20
TGT,"Target Corp",110.74,-3.93,-3.43%,113.79,110.37,6961800,01/31/20
BTG,"B2Gold Corp",4.32,-0.01,-0.23%,4.44,4.29,6911500,01/31/20
EXC,"Exelon Corp",47.59,-0.47,-0.98%,48.16,47.25,6880600,01/31/20
DHT,"Dht Holdings",5.63,-0.42,-6.94%,6.06,5.61,6837500,01/31/20
GRPN,"Groupon Cl A",2.88,-0.08,-2.70%,2.98,2.85,6836800,01/31/20
TECK,"Teck Resources Ltd",12.91,-0.58,-4.30%,13.17,12.72,6829500,01/31/20
ELAN,"Elanco Animal Health Inc",30.9,-0.82,-2.59%,31.75,30.72,6828400,01/31/20
CTVA,"Corteva Inc",28.92,-0.32,-1.09%,29.15,28.46,6788200,01/31/20
CAT,"Caterpillar Inc",131.35,-4.02,-2.97%,134.99,130.54,6785600,01/31/20
WPX,"Wpx Energy Inc",11.95,-0.15,-1.24%,12.01,11.71,6782400,01/31/20
LVS,"Las Vegas Sands",65.31,-0.89,-1.34%,65.61,64.48,6778700,01/31/20
NVAX,"Novavax Inc",7.62,0.62,+8.86%,7.79,6.79,6765900,01/31/20
BK,"Bank of New York Mellon Corp",44.78,-0.62,-1.37%,45.19,44.34,6765700,01/31/20
ATUS,"Altice USA Inc Cl A",27.36,0.01,+0.04%,28.04,27.26,6740300,01/31/20
CNX,"CNX Resources Corp",7.23,0.22,+3.14%,7.29,6.8,6731700,01/31/20
SYF,"Synchrony Financial",32.41,-0.71,-2.14%,33.01,32.21,6716900,01/31/20
O,"Realty Income Corp",78.41,-0.57,-0.72%,79.14,77.74,6703300,01/31/20
PG,"Procter & Gamble Company",124.62,-1.33,-1.06%,126.95,124.46,6612800,01/31/20
VLO,"Valero Energy Corp",84.31,-3.88,-4.40%,88.4,83.32,6537100,01/31/20
